datetime,logged_food,calorie,total_carb,dietary_fiber,sugar,protein,total_fat
2020-03-22 10:32:00,12.0 fluid ounce Diet Coke,0.0,0.4,0.0,0.0,0.0,0.0
2020-03-22 10:52:00,2.0 Hard Boiled Egg,156.0,1.1,0.0,1.1,12.6,10.6
2020-03-22 12:30:00,"4.0 ounce Boneless Skinless Chicken Thigh, 4.0 tablespoon (Hannah) Tatziki Sauce, 1.0 cup Tomatoes, 0.5 cup Beets, 0.5 cup Carrots, 0.5 cup Cucumber, 2.0 cup Lettuce Mix, 0.25 cup Red Bell Pepper",390.3,32.3,7.8,17.4,33.8,15.600000000000001
2020-03-22 13:20:00,"0.667 cup 2% Milk, 1.0 cup Coffee",84.4,7.8,0.0,8.3,5.7,3.3000000000000003
2020-03-22 15:30:00,"1.0 Small Apple, 0.5 cup 2% Cottage Cheese",183.5,24.7,3.6,17.9,12.4,5.0
2020-03-22 17:55:00,"5.0 ounce Boneless Skinless Chicken Thigh, 1.0 cup Potato, 0.5 cup Cooked Spinach",407.5,38.4,5.9,2.4,40.699999999999996,11.4
2020-03-22 18:55:00,"1.0 cup Kombucha GTS Cosmic Cranberry, 12.0 (Blue Diamond) Almond Nut Thins",160.0,31.0,1.0,2.0,3.0,2.0
2020-03-22 19:15:00,3.0 Bacon,161.0,0.6,0.0,0.0,12.0,161.0
2020-03-22 19:40:00,0.75 cup Kombucha GTS Cosmic Cranberry,22.5,5.3,0.0,1.5,0.0,0.0
2020-03-22 20:20:00,10.0 Gin-soaked Raisins,129.0,34.0,1.6,25.0,1.3,0.2
2020-03-23 04:32:00,"4.0 fluid ounce Milk, 1.5 cup Frosted Flakes",280.0,56.5,1.0,24.0,8.0,2.5
2020-03-23 05:40:00,2.0 Hard Boiled Egg,156.0,1.1,0.0,1.1,12.6,10.6
2020-03-23 05:47:00,"0.33 cup 2% Milk, 1.0 cup Coffee",42.8,3.8,0.0,4.1,3.0,1.7000000000000002
2020-03-23 08:05:00,"1.0 cup (Fage) Greek Yogurt, plain nonfat, 1.0 cup Mixed Berries, 0.5 cup (Kashi) Go Rise Cereal",357.0,40.0,10.8,20.9,26.2,12.4
2020-03-23 09:15:00,"2.0 cup Coffee, 2.0 tablespoon Half and half",22.8,0.7,0.0,0.6,1.1,1.7000000000000002
2020-03-23 11:30:00,"1.5 cup Homemade potato cauliflower soup with potato, cauliflower, chicken broth, onions, 1.0 teaspoon Oil, 10.0 ounce Cheddar Cheese, 3.0 Bacon, 4.0 ounce Boneless Skinless Chicken Thigh",1983.0,50.4,2.6,3.3,127.0,290.5
2020-03-23 13:30:00,1.0 piece (Dove) Promises Dark Chocolate,42.0,4.8,0.6,3.8,0.4,2.6
2020-03-23 13:40:00,"1.0 cup Coffee, 0.33 cup 2% Milk",42.8,3.8,0.0,4.1,3.0,1.7000000000000002
2020-03-23 16:00:00,"0.5 cup 2% Cottage Cheese, 1.0 Small Apple",183.5,24.7,3.6,17.9,12.4,5.0
2020-03-23 18:05:00,"4.0 ounce Boneless Skinless Chicken Thigh, 4.0 tablespoon (Hannah) Tatziki Sauce, 1.0 cup Tomatoes, 2.0 tablespoon Balsamic Vinegar, 0.5 cup Cucumber, 2.0 cup Salad Greens, 0.25 cup Red Bell Pepper",359.3,23.4,4.0,12.1,32.6,15.600000000000001
2020-03-23 19:25:00,1.0 cup Chardonnay Wine,197.0,5.1,0.0,2.3,0.2,0.0
2020-03-23 20:20:00,"50.0 Pistachios, 1.0 cup Chardonnay Wine",397.0,14.6,3.5,4.8,7.7,16.0
2020-03-24 08:50:00,"3.0 cup Coffee, 1.0 cup 2% Milk",129.6,11.6,0.0,12.4,8.9,5.0
2020-03-24 10:20:00,"1.0 cup (Fage) Greek Yogurt, plain nonfat, 1.0 cup Mixed Berries, 0.5 cup (Kashi) Go Rise Cereal, 2.0 Hard Boiled Egg",513.0,41.1,10.8,22.0,38.8,23.0
2020-03-24 12:51:00,"7.0 ounce Boneless Skinless Chicken Thigh, 2.0 cup Homemade potato cauliflower soup with potato, cauliflower, chicken broth, onions",775.5,41.0,2.6,1.9,70.3,37.4
2020-03-24 13:25:00,12.0 ounce Diet Coke,0.0,0.7,0.0,0.0,0.0,0.0
2020-03-24 15:07:00,"0.5 cup 2% Cottage Cheese, 2.0 Clementine",176.5,21.7,2.5,16.9,13.3,4.9
2020-03-24 17:15:00,6.0 ounce Chardonnay Wine,148.0,3.8,0.0,1.7,0.1,0.0
2020-03-24 18:00:00,"4.0 ounce Salmon, 1.0 cup Faro, 1.0 cup Cooked Broccoli",625.0,82.2,16.2,10.0,43.8,16.7
2020-03-24 18:32:00,4.0 piece (Dove) Promises Dark Chocolate,168.0,19.2,2.4,15.2,1.6,10.4
2020-03-25 05:34:00,"4.0 fluid ounce Milk, 1.5 cup Frosted Flakes",280.0,56.5,1.0,24.0,8.0,2.5
2020-03-25 06:54:00,2.0 Hard Boiled Egg,156.0,1.1,0.0,1.1,12.6,10.6
2020-03-25 06:57:00,"2.0 cup Coffee, 0.67 cup 2% Milk",86.8,7.8,0.0,8.3,6.0,3.3000000000000003
2020-03-25 08:45:00,"1.0 cup (Fage) Greek Yogurt, plain nonfat, 1.0 cup Mixed Berries, 0.5 cup (Kashi) Go Rise Cereal",357.0,40.0,10.8,20.9,26.2,12.4
2020-03-25 10:15:00,"1.0 cup Coffee, 0.25 cup 2% Milk",33.0,2.9,0.0,3.1,2.3,1.3
2020-03-25 12:53:00,24.0 fluid ounce Diet Coke,0.0,0.7,0.0,0.0,0.0,0.0
2020-03-25 13:05:00,"1.0 Lamb Gyro, 1.0 serving Homemade Potato Chips",861.0,45.2,3.6,6.8999999999999995,47.3,54.0
